SOURCE NODE ID,TARGET NODE ID,SCENE ID
"62","1500","1"
"62","1501","1"
"62","1502","1"
"62","1503","1"
"62","1504","1"
"62","1505","1"
"62","1506","1"
"62","1507","1"
"62","1508","1"
"62","1509","1"
"62","1510","1"
"62","1511","1"
"62","1512","1"
"62","1513","1"
"62","1514","1"
"62","1515","1"
"62","1516","1"
"62","1517","1"
"62","1518","1"
"62","1519","1"
"62","1520","1"
"62","1521","1"
"62","1522","1"
"62","1523","1"
"62","1524","1"
"62","1525","1"
"62","1526","1"
"62","1527","1"
"62","1528","1"
"62","1529","1"
"62","1530","1"
"62","1578","144"
"62","1587","48"
"62","1597","144"
"62","1604","134"
"62","1604","48"
"62","1606","42"
"62","1606","148"
"62","1606","144"
"62","1606","134"
"62","1615","148"
"62","1615","144"
"62","1625","48"
"62","1681","42"
"62","1681","48"
"62","1692","48"
"62","1700","48"
"62","1702","48"
"62","1711","148"
"62","1776","48"
"62","1811","meta: 168--172"
"62","1821","meta: 168--172"
"62","1853","meta: 168--172"
"62","1853","144"
"62","1853","134"
"62","1853","48"
"62","1854","42"
"62","1854","144"
"62","1858","134"
"62","1859","48"
"62","1860","144"
"62","1891","144"
"62","1926","148"
"62","1926","144"
"62","1926","48"
"62","1929","148"
"62","1967","48"
"62","1977","42"
"62","1991","42"
"62","2014","42"
"62","2014","144"
"62","2014","48"
"62","2024","42"
"62","2024","144"
"62","2024","48"
"62","2047","42"
"62","2068","meta: 168--172"
"62","2107","148"
"62","2107","144"
"62","2130","48"
"62","2138","148"
"62","2138","144"
"62","2144","148"
"62","2158","42"
"62","2158","48"
"62","2203","meta: 168--172"
"62","2215","148"
"62","2244","144"
"62","2262","148"
"62","2262","144"
"62","2287","134"
"62","2345","48"
"62","2368","134"
"62","2369","134"
"62","2370","134"
"62","2371","134"
"62","2372","134"
"62","2373","134"
"62","2374","134"
"62","2375","134"
"62","2376","134"
"62","2377","134"
"62","2378","134"
"62","2379","134"
"62","2380","134"
"62","2381","134"
"62","2382","134"
"62","2383","134"
"62","2384","134"
"62","2385","134"
"62","2386","134"
"62","2398","meta: 168--172"
"62","2399","148"
"62","2399","144"
"62","2411","meta: 168--172"
"62","2416","48"
"62","2416","144"
"62","2418","144"
"62","2485","42"
"62","2486","42"
"62","2487","144"
"62","2491","42"
"62","2491","144"
"62","2504","144"
"62","2521","144"
"62","2566","148"
"62","2568","42"
"62","2602","148"
"62","2624","144"
"62","2625","144"
"62","2626","144"
"62","2626","48"
"62","2627","148"
"62","2627","144"
"62","2628","144"
"62","2629","144"
"62","2630","144"
"62","2631","144"
"62","2632","144"
"62","2633","144"
"62","2634","144"
"62","2635","144"
"62","2636","144"
"62","2637","144"
"62","2638","144"
"62","2639","144"
"62","2640","148"
