SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"62","81","148","953"
"62","82","148","953"
"62","110","148","953"
"62","128","148","953"
"63","64","134","778"
"63","66","134","778"
"63","83","125","717"
"63","83","125","720"
"63","83","134","822"
"63","84","12","45"
"63","91","134","853"
"63","92","134","853"
"63","98","134","780"
"63","118","125","720"
"63","123","180","1062"
"63","157","125","720"
"64","63","1","5"
"64","63","12","45"
"64","63","134","768"
"64","63","134","853"
"64","66","134","835"
"64","68","39","236"
"64","73","138","893"
"64","74","4","18"
"64","82","14","74"
"64","84","12","45"
"64","84","134","768"
"64","85","12","45"
"64","87","134","853"
"64","88","13","50"
"64","91","32","198"
"64","91","125","723"
"64","91","134","768"
"64","91","134","853"
"64","92","134","853"
"64","97","135","879"
"64","121","39","236"
"64","125","125","723"
"64","135","42","258"
"64","143","146","938"
"64","155","125","723"
"64","184","134","786"
"64","188","148","952"
"66","64","134","778"
"66","65","3","8"
"66","102","33","205"
"66","123","55","307"
"66","125","134","823"
"66","138","127","728"
"66","139","63","389"
"66","149","134","823"
"66","155","63","389"
"66","159","65","413"
"67","75","41","252"
"67","89","41","252"
"67","123","118","702"
"67","138","41","252"
"67","140","118","702"
"67","162","149","964"
"68","70","4","15"
"68","70","181","1067"
"68","72","134","737"
"68","74","12","46"
"68","74","22","135"
"68","75","149","966"
"68","79","135","867"
"68","87","149","966"
"68","90","181","1067"
"68","92","68","452"
"68","92","134","795"
"68","93","181","1067"
"68","105","135","867"
"68","106","18","94"
"68","108","68","452"
"68","121","39","236"
"68","129","135","867"
"68","130","134","795"
"68","130","181","1067"
"68","139","182","1074"
"70","68","72","502"
"71","73","4","16"
"71","134","181","1064"
"71","143","181","1064"
"72","63","134","764"
"72","63","134","772"
"72","64","138","893"
"72","71","4","16"
"72","73","4","16"
"72","73","84","563"
"72","73","138","893"
"72","83","134","772"
"72","84","134","772"
"72","112","134","830"
"72","120","135","873"
"72","137","135","873"
"72","147","84","563"
"72","157","134","772"
"74","92","103","650"
"74","120","103","650"
"75","66","69","462"
"75","68","148","954"
"75","68","182","1071"
"75","84","63","387"
"75","87","63","387"
"75","87","86","569"
"75","87","149","966"
"75","89","41","252"
"75","91","136","886"
"75","94","63","387"
"75","105","136","886"
"75","112","105","667"
"75","120","103","633"
"75","122","65","410"
"75","123","136","886"
"75","134","63","387"
"75","147","65","410"
"75","147","103","633"
"75","149","105","667"
"75","158","65","407"
"75","173","134","758"
"76","92","134","827"
"76","116","134","827"
"76","120","134","827"
"77","76","6","22"
"78","82","148","959"
"78","116","22","121"
"78","116","148","959"
"78","132","148","959"
"79","77","9","32"
"79","81","152","973"
"79","129","135","867"
"80","107","39","233"
"80","128","176","1056"
"81","64","148","952"
"81","82","148","953"
"81","188","148","952"
"82","67","149","964"
"82","81","72","507"
"82","84","22","119"
"82","100","149","964"
"82","116","148","959"
"82","132","148","959"
"82","162","149","964"
"83","63","12","45"
"83","63","134","765"
"83","63","134","772"
"83","63","134","783"
"83","64","12","45"
"83","84","12","45"
"83","84","134","772"
"83","85","12","45"
"83","118","125","720"
"83","157","134","772"
"84","63","134","768"
"84","63","134","772"
"84","64","32","198"
"84","65","41","245"
"84","87","63","387"
"84","87","127","733"
"84","87","134","771"
"84","87","134","779"
"84","87","134","856"
"84","91","32","198"
"84","113","134","779"
"84","118","22","128"
"84","125","134","829"
"84","130","135","866"
"84","134","63","387"
"84","138","134","856"
"84","142","135","866"
"84","147","135","866"
"84","157","134","772"
"84","177","134","773"
"84","183","134","856"
"85","63","12","45"
"85","84","12","45"
"86","63","134","853"
"86","64","134","853"
"86","84","134","771"
"86","84","134","779"
"86","87","25","165"
"86","87","41","244"
"86","87","134","771"
"86","87","134","779"
"86","87","134","853"
"86","91","134","853"
"86","92","134","853"
"86","113","134","779"
"87","63","134","853"
"87","75","113","688"
"87","75","149","967"
"87","86","13","48"
"87","86","144","932"
"87","86","146","937"
"87","91","134","853"
"87","92","134","853"
"87","102","139","912"
"87","103","meta: 168--172","1024"
"87","118","117","694"
"87","120","139","912"
"87","125","117","694"
