SOURCE NODE ID,TARGET NODE ID,SCENE ID,DIALOGUE ID
"1","52","3","7"
"1","54","3","7"
"1","59","37","69"
"1","79","37","69"
"2","52","3","2"
"2","53","3","5"
"2","53","55","490"
"2","53","132","800"
"2","54","5","18"
"2","54","5","19"
"2","54","50","328"
"2","54","50","331"
"2","55","5","19"
"2","55","50","331"
"2","55","132","778"
"2","55","132","784"
"2","55","132","786"
"2","55","132","768"
"2","56","5","17"
"2","56","5","18"
"2","56","50","331"
"2","56","50","334"
"2","56","50","339"
"2","57","37","216"
"2","57","50","334"
"2","57","50","278"
"2","57","50","320"
"2","57","132","743"
"2","59","50","324"
"2","59","55","490"
"2","60","37","80"
"2","60","50","347"
"2","63","37","210"
"2","63","50","401"
"2","63","132","745"
"2","64","50","349"
"2","64","50","429"
"2","65","5","15"
"2","65","37","50"
"2","65","37","46"
"2","65","37","44"
"2","65","132","784"
"2","66","37","210"
"2","66","5","19"
"2","67","50","324"
"2","67","60","521"
"2","68","5","17"
"2","68","50","349"
"2","68","50","280"
"2","68","50","432"
"2","68","55","494"
"2","68","132","800"
"2","69","5","19"
"2","69","50","336"
"2","70","50","248"
"2","70","50","252"
"2","70","50","345"
"2","70","50","280"
"2","70","50","282"
"2","70","51","483"
"2","70","50","399"
"2","70","50","401"
"2","70","55","490"
"2","70","55","492"
"2","70","59","517"
"2","70","132","776"
"2","70","132","780"
"2","71","5","17"
"2","71","5","19"
"2","71","37","70"
"2","72","37","235"
"2","72","5","18"
"2","72","50","274"
"2","72","50","433"
"2","72","51","478"
"2","72","50","385"
"2","72","50","381"
"2","72","50","402"
"2","72","132","748"
"2","76","5","19"
"2","77","37","210"
"2","77","100","693"
"2","78","50","399"
"2","78","77","582"
"2","78","132","748"
"2","78","132","747"
"2","78","132","768"
"2","79","50","252"
"2","79","26","34"
"2","79","37","63"
"2","80","26","34"
"2","81","50","399"
"2","81","60","519"
"2","82","60","519"
"2","85","37","216"
"2","85","50","320"
"2","85","132","768"
"2","86","132","782"
"2","87","26","34"
"2","88","37","36"
"2","88","132","773"
"2","91","37","46"
"2","92","50","278"
"2","92","50","401"
"2","92","55","492"
"2","92","132","768"
"2","94","50","259"
"2","94","50","426"
"2","94","132","775"
"2","95","50","401"
"2","95","60","519"
"2","96","37","210"
"2","96","50","244"
"2","96","50","322"
"2","96","50","429"
"2","98","37","216"
"2","98","37","218"
"2","98","37","67"
"2","98","37","65"
"2","98","50","324"
"2","98","50","349"
"2","98","77","582"
"2","98","55","492"
"2","98","132","745"
"2","98","90","660"
"2","98","132","804"
"2","99","50","322"
"2","99","50","433"
"2","100","37","224"
"2","100","37","234"
"2","100","50","248"
"2","100","51","478"
"2","100","51","485"
"2","100","50","385"
"2","100","50","388"
"2","100","55","496"
"2","100","100","665"
"2","100","132","792"
"2","100","144","874"
"2","101","50","336"
"2","101","50","257"
"2","101","132","800"
"2","102","37","63"
"2","103","37","224"
"2","103","50","248"
"2","103","37","65"
"2","104","37","67"
"2","106","132","762"
"2","107","50","429"
"2","107","55","490"
"2","107","132","768"
"2","109","50","244"
"2","111","50","259"
"2","111","86","637"
"2","117","50","324"
"2","117","132","771"
"2","119","51","453"
"2","119","55","492"
"2","119","60","529"
"2","120","37","214"
"2","120","132","786"
"2","121","51","457"
"2","121","132","804"
"2","122","50","282"
