"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"52","cordé","[3]","[2,7]"
"53","back","[55,77,112,90,50,37,3,132,144,143]","[490,589,703,656,251,195,5,333,721,736,800,822,857,848,881]"
"54","vote","[5,3,50,132]","[18,19,20,22,7,8,328,331,760]"
"55","republic","[5,77,50,132]","[19,25,13,560,562,8,311,341,332,331,333,325,768,759,755,786,784,785,779,778]"
"56","army","[5,77,112,50,132]","[17,18,11,608,609,560,570,571,702,8,334,339,331,717,716,715,708,749]"
"57","time","[37,50,59,77,100,81,5,132,141,133,144]","[112,126,171,84,421,509,553,611,684,634,251,253,216,320,8,279,278,334,394,391,743,760,785,821,840,823,867]"
"58","news","[59,5,144]","[508,9,878]"
"59","senator","[5,26,37,51,77,55,50,132,144]","[14,16,33,39,42,45,53,71,69,66,101,87,469,538,490,581,197,209,9,329,324,725,723,724,752,741,772,785,779,781,774,777,796,798,881]"
"60","excuse","[37,77,5,50]","[167,57,80,618,616,9,266,347,348]"
"61","naboo","[5,26,50,37,132,144]","[16,35,249,197,288,9,285,277,351,725,752,779,881]"
"62","system","[50,60,5,132,133]","[439,526,524,9,367,377,366,809,832]"
"63","friend","[37,50,5,132,138,133]","[47,439,210,10,303,401,745,798,836,825]"
"64","home","[50,77,107,112,37,5,144]","[428,429,430,565,700,703,193,194,10,349,398,877,881]"
"65","chancellor","[5,37,77,132]","[15,46,44,50,117,572,10,725,722,717,749,758,760,755,784,785]"
"66","great","[5,37,50,132]","[16,19,10,62,227,210,358,730,759,774,789]"
"67","queen","[5,60,50,132]","[10,521,324,725]"
"68","life","[5,37,50,55,132]","[17,10,177,421,423,432,494,194,193,283,280,349,403,727,759,805,800]"
"69","senators","[5,37,50,132]","[19,11,118,116,201,336,753]"
"70","jedi","[5,26,37,51,59,77,55,79,100,50,132,138,133,144]","[25,30,37,42,12,114,64,78,483,517,511,544,490,492,498,502,493,606,603,612,620,625,566,567,579,581,591,594,673,252,248,240,227,310,295,282,280,267,344,345,340,401,399,379,357,356,363,720,718,750,787,780,774,776,791,798,834,826,827,825,857,863,856]"
"71","security","[5,37,50]","[17,19,47,13,70,85,78,348]"
"72","continuing","[5,37,51,50,55,77,79,88,90,132,141,138,144,143,148]","[18,14,133,134,165,145,149,167,171,58,478,428,431,433,435,487,596,602,620,624,622,625,586,654,657,235,306,288,274,272,270,265,402,368,385,381,363,748,732,733,756,843,834,822,860,863,865,864,844,850,882,884,872]"
