"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"1","THREEPIO","[7,1,479,466,205,189,157,164,126,148,112,120,115,111,86,73,70,64,58,57,56,44,45,36,41,42,33,34,31,30,10,12]","[1001,999,971,832,831,406,412,387,384,386,342,331,326,320,534,537,536,554,552,448,447,450,452,675,681,682,672,674,630,634,632,587,584,557,764,773,749,7,8,9,10,735,5,4,3,2,1,717,689,687,685,686,693,694,25,26,21,22,19,20,137,135,133,131,129,128,126,120,111,109,107,168,164,159,161,156,158,152,154,150,144,146,139,142,61,62,59,60,65,66,63,64,54,58,57,56,55,99,100,101,105,95,98,259,249,247,202,200,173,174,171,175,220,223,225,228,204,209,218]"
"2","LUKE","[1,479,466,332,205,204,192,201,157,164,180,188,120,130,126,127,148,112,114,115,111,105,86,81,79,68,65,60,59,57,53,55,56,48,50,43,44,45,36,38,41,42,33,34,31,30]","[998,995,1002,978,977,966,956,958,959,961,962,950,953,944,945,861,865,869,867,874,843,858,829,812,816,818,820,824,826,932,931,880,875,888,889,885,403,422,420,415,364,388,337,334,355,353,309,303,306,300,301,328,330,323,325,321,523,532,542,540,546,550,548,553,551,492,497,499,503,505,507,462,470,481,479,489,487,483,441,457,454,677,680,667,669,670,659,661,665,651,653,655,645,646,635,639,629,631,611,607,609,596,593,588,590,585,581,582,580,578,576,574,572,570,568,566,564,562,560,558,555,804,808,810,788,789,791,793,763,768,771,748,751,758,6,732,746,716,718,728,730,723,725,726,700,690,688,697,695,696,691,692,33,31,30,40,39,37,35,138,136,134,132,130,127,125,123,121,118,116,115,113,167,170,163,165,166,160,162,157,153,147,149,143,145,140,141,69,67,73,71,103,91,93,83,85,87,89,75,77,79,81,256,254,252,266,264,261,260,241,239,237,235,250,248,246,243,296,298,273,269,279,275,277,190,187,194,192,201,199,172,178,176,181,179,185,183,219,222,221,224,226,227,230,229,233,203,205,207,208,216,217]"
"3","IMPERIAL OFFICER","[8,466,148,111,63]","[917,379,510,511,516,518,520,522,592,594,11,709]"
"4","VADER","[466,191,203,157,111,85,63,47,52,30,8]","[984,983,974,964,970,863,937,894,906,876,378,381,304,514,517,519,521,475,440,621,623,616,612,614,806,775,15,16,12,13,738,739,741,52,46,44,50,48,288,290,292,294]"
"5","REBEL OFFICER","[8]","[14]"
"6","TROOPER","[157,120,111,72,71,64,63,59,55,9]","[410,409,408,407,383,385,361,311,313,308,319,315,317,528,676,17,18,736,737]"
"7","CHIEF","[205,11]","[23,830,828]"
"8","CAPTAIN","[11]","[24]"
"9","WOMAN","[12]","[27]"
"10","FIXER","[30]","[42,28]"
"11","CAMIE","[30]","[41,29]"
"12","BIGGS","[466,205,332,31,30]","[965,967,968,952,954,860,859,873,872,827,838,819,822,825,923,877,890,34,32,38,70,68,74,72,92,94,84,86,88,90,76,78,80,82]"
"13","DEAK","[30]","[36]"
"14","LEIA","[479,476,205,192,197,170,180,188,120,148,157,112,114,115,111,84,45,31,30]","[997,993,815,817,425,431,434,427,429,439,435,437,679,668,664,663,658,657,649,647,637,641,627,608,610,606,796,780,782,784,786,787,765,770,772,778,753,762,759,731,734,733,745,719,727,729,724,705,702,707,684,155,151,148,45,43,271]"
"15","COMMANDER","[30]","[47,49,53]"
"16","SECOND OFFICER","[30]","[51]"
"17","FIRST TROOPER","[148,115,31]","[96,710,711,714,721,671]"
"18","SECOND TROOPER","[148,31]","[97,712,713]"
"19","BERU","[36,31]","[214,212,195,197,193,102,169]"
"20","OWEN","[31,36,34]","[124,122,119,117,114,215,213,211,210,206,184,186,180,182,177,196,198,191,188,189,106,104,108,110,112]"
"21","BEN","[157,111,105,86,81,65,60,59,57,56,53,54,55,48,44,45]","[418,363,389,390,346,344,341,339,359,356,351,349,312,314,307,310,305,299,302,324,322,316,318,525,527,538,535,541,543,494,496,501,509,465,463,464,461,460,471,467,490,488,484,442,443,455,453,740,742,258,257,255,253,251,265,263,262,242,240,238,236,245,244,297,272,274,267,268,270,280,276,278,232,231,234]"
"22","TAGGE","[47]","[281,285,283,287]"
"23","MOTTI","[84,47]","[282,291,289,424]"
"24","TARKIN","[466,191,199,111,84,63,47]","[981,918,426,380,382,512,474,472,476,432,433,428,430,436,438,622,620,615,617,618,613,797,774,776,284,286,295,293]"
"25","BARTENDER","[57,56]","[329,327,340]"
"26","CREATURE","[57]","[332]"
"27","HUMAN","[57]","[333,335,336,338]"
"28","HAN SOLO","[475,479,466,204,192,157,170,180,120,127,148,112,114,115,111,105,86,81,73,79,68,66,61,59]","[996,987,988,994,991,985,811,813,814,405,404,398,396,402,400,421,419,423,413,414,411,417,416,372,374,376,377,366,368,370,392,394,345,343,362,360,357,358,354,352,350,347,348,526,524,533,539,545,544,549,547,491,493,495,498,500,502,504,506,508,466,459,469,468,482,480,478,477,486,485,449,444,446,445,456,458,451,678,660,662,666,652,654,656,643,644,650,648,638,636,642,640,628,626,625,624,603,605,599,601,595,598,597,591,589,586,583,579,577,575,573,571,569,567,565,563,561,559,556,809,779,781,783,785,790,792,766,769,767,777,750,747,754,752,757,756,761,760,744,743,720,722,715,706,704,703,701,699,708,683,698]"
"29","GREEDO","[61]","[371,373,375,365,367,369]"
"30","JABBA","[66]","[393,391,399,401,395,397]"
"31","OFFICER CASS","[111]","[473]"
"32","VOICE","[466,111]","[919,513,515]"
"33","HAN SOLO'S VOICE","[111]","[529]"
"34","GANTRY OFFICER","[111]","[531,530]"
"35","INTERCOM VOICE","[471,111]","[602,600,604,619,990,989]"
"36","TROOPER VOICE","[112]","[633]"
"37","FIRST OFFICER","[116]","[673]"
"38","BEN'S VOICE","[476,466,205,157]","[992,973,972,975,833,755]"
"39","WILLARD","[197]","[794,795]"
"40","DODONNA","[466,199,201]","[924,798,800,802,801,805]"
"41","GOLD LEADER","[332,466,199]","[854,852,912,910,908,896,895,898,897,892,891,905,901,799]"
"42","WEDGE","[332,466,201]","[963,955,957,960,951,849,856,841,922,879,878,887,886,803]"
"43","MAN'S VOICE","[203]","[807]"
"44","RED LEADER","[466,332,205,210]","[948,947,940,942,943,946,866,864,870,871,845,846,844,850,847,848,853,851,857,855,835,821,823,928,926,938,936,935,934,921,920,915,893,882,883]"
"45","MASSASSI INTERCOM VOICE","[466,207]","[979,834,900]"
"46","RED TEN","[466,210]","[939,836,929,927,933,884]"
"47","RED SEVEN","[212]","[837]"
"48","PORKINS","[332]","[839]"
"49","RED NINE","[332]","[840]"
"50","RED ELEVEN","[332]","[842]"
"51","ASTRO-OFFICER","[466]","[862]"
"52","CONTROL OFFICER","[466]","[868]"
"53","LUKE'S VOICE","[466]","[881]"
"54","GOLD FIVE","[466]","[913,914,911,909,916,904,899]"
"55","GOLD TWO","[466]","[903,902]"
"56","WINGMAN'S VOICE","[466]","[986,907]"
"57","RED LEADER'S VOICE","[466]","[925]"
"58","RED TEN'S VOICE","[466]","[930]"
"59","RED NINE'S VOICE","[466]","[941]"
"60","DEATH STAR INTERCOM VOICE","[466]","[982,980,969,949]"
"61","BASE VOICE","[466]","[976]"
"62","TECHNICIAN","[479]","[1000]"
