SCENE ID,START TIME,END TIME
"1","00:00:00","00:03:15"
"meta: 1--7","00:03:15","00:04:57"
"7","00:04:57","00:05:29"
"8","00:05:29","00:06:11"
"9","00:06:11","00:06:35"
"10","00:06:35","00:07:00"
"11","00:07:00","00:07:12"
"12","00:07:12","00:07:22"
"meta: 12--14","00:07:22","00:07:53"
"14","00:07:53","00:07:56"
"meta: 14--16","00:07:56","00:08:01"
"16","00:08:01","00:08:48"
"meta: 16--18","00:08:48","00:09:07"
"18","00:09:07","00:10:57"
"19","00:10:57","00:11:23"
"meta: 19--24","00:11:23","00:14:54"
"24","00:14:54","00:15:00"
"meta: 24--26","00:15:00","00:15:50"
"26","00:15:50","00:15:50"
"meta: 26--28","00:15:50","00:15:56"
"28","00:15:56","00:16:32"
"29","00:16:32","00:19:40"
"30","00:19:40","00:23:31"
"31","00:23:31","00:25:32"
"meta: 31--33","00:25:32","00:26:20"
"33","00:26:20","00:26:32"
"34","00:26:32","00:27:15"
"meta: 34--36","00:27:15","00:27:45"
"36","00:27:45","00:27:45"
"meta: 36--38","00:27:45","00:27:54"
"38","00:27:54","00:27:58"
"meta: 38--41","00:27:58","00:28:22"
"41","00:28:22","00:28:29"
"42","00:28:29","00:28:47"
"42","00:28:29","00:28:32"
"42","00:28:32","00:28:47"
"42","00:28:32","00:28:32"
"43","00:28:47","00:28:55"
"44","00:28:55","00:32:37"
"44","00:28:55","00:32:00"
"44","00:32:00","00:32:37"
"44","00:32:00","00:32:00"
"45","00:32:37","00:36:56"
"meta: 45--47","00:36:56","00:37:00"
"47","00:37:00","00:39:05"
"48","00:39:05","00:40:11"
"meta: 48--50","00:40:11","00:40:24"
"50","00:40:24","00:40:27"
"meta: 50--52","00:40:27","00:41:12"
"52","00:41:12","00:41:18"
"53","00:41:18","00:42:22"
"54","00:42:22","00:42:50"
"55","00:42:50","00:43:58"
"56","00:43:58","00:44:51"
"57","00:44:51","00:47:31"
"58","00:47:31","00:47:41"
"59","00:47:41","00:49:52"
"60","00:49:52","00:49:57"
"61","00:49:57","00:51:18"
"meta: 61--63","00:51:18","00:51:28"
"63","00:51:28","00:51:46"
"64","00:51:46","00:52:12"
"65","00:52:12","00:52:32"
"66","00:52:32","00:54:30"
"meta: 66--68","00:54:30","00:54:40"
"68","00:54:40","00:54:54"
"meta: 68--70","00:54:54","00:54:59"
"70","00:54:59","00:55:03"
"71","00:55:03","00:55:16"
"72","00:55:16","00:55:19"
"73","00:55:19","00:55:36"
"meta: 73--77","00:55:36","00:55:50"
"77","00:55:50","00:55:57"
"meta: 77--79","00:55:57","00:55:59"
"79","00:55:59","00:56:25"
"meta: 79--81","00:56:25","00:56:29"
"81","00:56:29","00:56:52"
"meta: 81--84","00:56:52","00:57:13"
"84","00:57:13","00:58:51"
"85","00:58:51","00:58:56"
"86","00:58:56","01:02:44"
"87","01:02:44","01:03:10"
"meta: 87--89","01:03:10","01:03:13"
"89","01:03:13","01:03:55"
"meta: 89--91","01:03:55","01:03:59"
"91","01:03:59","01:04:07"
"meta: 91--93","01:04:07","01:04:14"
"93","01:04:14","01:04:20"
"meta: 93--95","01:04:20","01:04:22"
"95","01:04:22","01:05:13"
"meta: 95--98","01:05:13","01:05:49"
"98","01:05:49","01:05:51"
"meta: 98--100","01:05:51","01:05:56"
"100","01:05:56","01:06:01"
"101","01:06:01","01:06:16"
"102","01:06:16","01:06:59"
"103","01:06:59","01:07:40"
"104","01:07:40","01:08:21"
"105","01:08:21","01:12:36"
"106","01:12:36","01:13:32"
"meta: 106--108","01:13:32","01:14:06"
"108","01:14:06","01:14:06"
"109","01:14:06","01:15:56"
"110","01:15:56","01:16:25"
"111","01:16:25","01:17:07"
"112","01:17:07","01:17:32"
"meta: 112--114","01:17:32","01:17:40"
"114","01:17:40","01:19:01"
"115","01:19:01","01:21:44"
"116","01:21:44","01:21:54"
"117","01:21:54","01:23:20"
"118","01:23:20","01:23:24"
"118","01:23:24","01:23:24"
"119","01:23:24","01:23:38"
"119","01:23:24","01:23:30"
