SOURCE NODE ID,TARGET NODE ID,SCENE ID
"54","189","151"
"54","202","89"
"54","206","82"
"54","215","272"
"54","215","274"
"54","257","194"
"54","289","273"
"54","289","275"
"55","202","89"
"55","215","272"
"56","202","89"
"56","215","272"
"57","202","89"
"57","215","272"
"57","257","194"
"58","202","89"
"59","189","151"
"59","202","89"
"59","215","180"
"59","215","272"
"59","257","219"
"59","289","275"
"60","189","151"
"60","202","89"
"60","257","194"
"61","202","89"
"61","215","272"
"62","189","151"
"62","202","89"
"62","215","272"
"63","202","89"
"63","215","272"
"63","257","194"
"64","189","151"
"64","202","89"
"65","202","89"
"65","215","272"
"66","202","89"
"66","215","272"
"66","257","194"
"67","202","89"
"67","215","272"
"68","202","89"
"68","215","251"
"68","215","272"
"68","257","194"
"69","202","89"
"69","215","272"
"69","215","274"
"69","257","194"
"70","202","89"
"70","215","272"
"71","202","89"
"71","215","272"
"72","202","89"
"72","215","272"
"73","202","89"
"73","215","272"
"74","202","89"
"74","215","272"
"75","202","89"
"75","215","272"
"76","202","89"
"76","215","272"
"77","202","89"
"77","215","272"
"78","202","89"
"78","215","272"
"78","257","194"
"79","202","89"
"79","215","272"
"79","257","194"
"80","202","89"
"80","215","180"
"80","215","251"
"80","215","272"
"80","257","194"
"81","202","89"
"82","202","89"
"82","215","272"
"83","202","89"
"83","215","272"
"83","257","194"
"83","257","219"
"84","202","89"
"84","215","251"
"84","215","272"
"84","257","194"
"85","189","151"
"85","202","89"
"86","189","151"
"86","202","89"
"86","215","272"
"86","257","194"
"87","202","89"
"87","215","272"
"88","202","89"
"88","215","272"
"89","202","89"
"89","257","194"
"90","202","89"
"90","257","194"
"91","202","89"
"91","215","272"
"91","257","194"
"91","257","219"
"92","202","89"
"92","215","272"
"92","257","194"
"93","202","89"
"94","202","89"
"94","215","272"
"95","202","89"
"96","202","89"
"97","202","89"
"97","215","272"
"98","202","89"
"98","215","272"
"99","202","89"
"100","202","89"
"100","215","272"
"100","257","194"
"101","202","89"
"101","215","180"
"101","215","272"
"102","189","151"
"102","202","89"
"102","257","194"
"103","202","89"
"103","215","272"
"104","202","89"
"104","215","272"
"105","189","151"
"105","215","272"
"105","257","194"
"106","189","151"
"107","215","272"
"107","257","194"
"108","215","272"
"108","257","194"
"109","215","272"
"109","257","194"
"110","215","272"
"110","257","194"
"111","215","272"
"111","257","194"
"112","215","272"
"112","257","194"
"113","215","272"
"113","257","194"
"114","257","194"
"115","215","272"
"115","257","194"
"116","215","272"
"116","257","194"
"117","257","194"
"118","215","272"
"118","257","194"
"119","257","194"
"120","215","272"
"120","257","194"
"120","257","219"
"121","215","272"
"121","257","194"
"122","215","272"
"122","257","194"
"123","257","194"
"124","215","272"
"124","257","194"
"125","257","194"
"126","257","194"
"127","215","272"
"127","257","194"
"128","215","272"
"128","257","194"
"129","215","272"
"129","257","194"
"130","215","272"
"130","257","194"
"131","215","272"
"131","257","194"
"132","215","272"
"132","257","194"
"133","215","272"
"133","257","194"
"134","215","272"
"134","257","194"
"135","215","272"
"136","215","272"
"137","215","272"
"138","215","272"
"139","215","272"
"140","215","272"
"141","215","272"
"142","215","272"
"143","215","272"
"144","215","272"
"145","215","272"
"146","215","272"
"147","215","272"
"148","215","272"
"149","215","272"
"150","215","272"
"151","215","272"
"152","215","272"
"153","215","272"
"154","215","272"
"155","215","272"
"156","215","272"
"157","215","272"
"158","215","272"
"159","215","272"
"160","215","272"
"161","215","272"
"162","215","272"
"163","215","272"
"164","215","272"
"165","215","272"
"166","215","272"
"167","215","272"
