SOURCE NODE ID,TARGET NODE ID,SCENE ID
"1","162","1"
"1","164","3"
"2","164","3"
"3","164","3"
"4","164","3"
"5","165","4"
"5","214","103"
"6","164","129"
"6","165","4"
"6","191","42"
"6","197","49"
"6","205","58"
"6","206","59"
"6","212","66"
"6","214","68"
"6","214","121"
"6","214","116"
"6","222","77"
"6","228","89"
"7","165","4"
"7","166","5"
"7","167","6"
"7","168","7"
"7","168","16"
"7","168","10"
"7","169","8"
"7","170","9"
"7","172","13"
"7","173","14"
"7","176","18"
"7","177","20"
"7","179","22"
"7","181","24"
"7","186","38"
"7","205","58"
"7","208","62"
"7","211","65"
"7","212","69"
"7","215","70"
"7","218","73"
"7","219","74"
"7","223","78"
"7","225","82"
"7","227","86"
"7","229","90"
"7","231","132"
"7","233","98"
"7","233","115"
"7","233","110"
"8","166","5"
"9","167","6"
"9","168","16"
"9","173","14"
"10","168","16"
"10","168","7"
"10","168","10"
"10","170","9"
"11","164","129"
"11","168","16"
"11","168","7"
"11","173","14"
"11","177","20"
"11","178","21"
"11","182","31"
"11","183","27"
"11","186","38"
"11","191","42"
"11","197","49"
"11","198","50"
"11","205","58"
"11","206","59"
"11","209","63"
"11","210","64"
"11","211","65"
"11","212","69"
"11","214","121"
"11","214","116"
"11","215","70"
"11","218","73"
"11","220","75"
"11","222","77"
"11","228","97"
"11","228","89"
"12","169","8"
"12","170","9"
"13","170","9"
"14","168","10"
"14","172","13"
"15","172","13"
"15","173","14"
"15","177","20"
"15","178","21"
"15","179","22"
"15","182","35"
"15","182","25"
"15","182","33"
"15","191","42"
"15","198","50"
"15","205","60"
"15","205","58"
"15","206","59"
"15","208","62"
"15","209","63"
"15","211","65"
"15","212","69"
"15","214","116"
"15","214","68"
"15","215","70"
"15","218","73"
"15","219","74"
"15","220","75"
"15","223","78"
"15","225","82"
"15","227","86"
"15","229","90"
"15","231","132"
"15","233","122"
"15","233","115"
"15","233","110"
"15","233","98"
"15","238","120"
"15","238","118"
"16","172","13"
"16","177","20"
"16","188","37"
"16","191","42"
"16","205","58"
"16","206","59"
"16","208","62"
"16","209","63"
"16","211","65"
"16","212","66"
"16","218","73"
"16","219","74"
"16","220","75"
"16","223","78"
"16","224","112"
"16","225","82"
"16","227","84"
"16","229","90"
"16","233","115"
"16","233","98"
"17","182","33"
"17","182","35"
"17","182","31"
"17","182","39"
"17","191","42"
"17","198","50"
"17","205","58"
"17","224","94"
"17","224","108"
"17","224","112"
"17","224","80"
"17","224","100"
"17","224","92"
"17","231","109"
"17","231","123"
"17","231","96"
"17","231","132"
"17","237","117"
"17","239","125"
"17","240","131"
"18","197","49"
"18","205","58"
"18","214","68"
"18","214","113"
"18","214","124"
"18","214","121"
"18","214","103"
"18","228","89"
"18","228","97"
"19","197","49"
"20","198","50"
"21","198","50"
"21","200","52"
"22","205","58"
"22","224","112"
"22","224","80"
"22","231","126"
"22","231","132"
"22","231","123"
"22","231","93"
"22","231","109"
"22","231","96"
"23","205","58"
"24","205","58"
"25","206","127"
"25","206","59"
"25","235","102"
"26","209","63"
"26","212","66"
"26","226","85"
"27","212","66"
"28","212","66"
"29","164","129"
"29","222","77"
"29","224","100"
"29","229","90"
"29","235","102"
"30","224","100"
"30","224","92"
"30","231","96"
"30","231","132"
"30","237","117"
"30","239","125"
"30","240","131"
"31","224","92"
"32","224","92"
"33","224","94"
"34","206","127"
"34","231","96"
"35","224","112"
"35","231","96"
"35","237","117"
"36","233","115"
"36","233","98"
"37","233","98"
"38","224","100"
"39","224","100"
"40","224","100"
"41","224","112"
"42","208","114"
"43","208","114"
"43","239","125"
"44","238","118"
"45","238","118"
"46","164","129"
