SOURCE NODE ID,TARGET NODE ID,SCENE ID
"1500","1001","1"
"1500","1127","1"
"1500","1168","1"
"1500","1182","1"
"1501","1001","1"
"1501","1008","117"
"1501","1119","117"
"1501","1119","meta: 94--96"
"1501","1127","1"
"1501","1130","117"
"1501","1141","117"
"1501","1168","1"
"1501","1182","1"
"1502","1001","1"
"1502","1127","1"
"1502","1168","1"
"1502","1182","1"
"1503","1001","1"
"1503","1127","1"
"1503","1168","1"
"1503","1182","1"
"1504","1001","1"
"1504","1127","1"
"1504","1168","1"
"1504","1182","1"
"1505","1001","1"
"1505","1127","1"
"1505","1168","1"
"1505","1182","1"
"1506","1001","1"
"1506","1127","1"
"1506","1168","1"
"1506","1182","1"
"1507","1001","1"
"1507","1127","1"
"1507","1168","1"
"1507","1182","1"
"1508","1001","1"
"1508","1127","1"
"1508","1168","1"
"1508","1182","1"
"1509","1001","1"
"1509","1127","1"
"1509","1168","1"
"1509","1182","1"
"1510","1001","1"
"1510","1127","1"
"1510","1168","1"
"1510","1182","1"
"1511","1001","1"
"1511","1127","1"
"1511","1168","1"
"1511","1182","1"
"1512","1001","1"
"1512","1127","1"
"1512","1168","1"
"1512","1182","1"
"1513","1001","1"
"1513","1127","1"
"1513","1168","1"
"1513","1182","1"
"1514","1001","1"
"1514","1127","1"
"1514","1168","1"
"1514","1182","1"
"1515","1001","1"
"1515","1127","1"
"1515","1168","1"
"1515","1182","1"
"1516","1001","1"
"1516","1127","1"
"1516","1168","1"
"1516","1182","1"
"1517","1001","1"
"1517","1127","1"
"1517","1168","1"
"1517","1182","1"
"1518","1001","1"
"1518","1127","1"
"1518","1168","1"
"1518","1182","1"
"1519","1001","1"
"1519","1127","1"
"1519","1168","1"
"1519","1182","1"
"1520","1001","1"
"1520","1127","1"
"1520","1168","1"
"1520","1182","1"
"1521","1001","1"
"1521","1127","1"
"1521","1168","1"
"1521","1182","1"
"1522","1001","1"
"1522","1127","1"
"1522","1168","1"
"1522","1182","1"
"1523","1001","1"
"1523","1127","1"
"1523","1168","1"
"1523","1182","1"
"1524","1001","1"
"1524","1127","1"
"1524","1168","1"
"1524","1182","1"
"1525","1001","1"
"1525","1127","1"
"1525","1168","1"
"1525","1182","1"
"1526","1001","1"
"1526","1127","1"
"1526","1168","1"
"1526","1182","1"
"1527","1001","1"
"1527","1127","1"
"1527","1168","1"
"1527","1182","1"
"1528","1001","1"
"1528","1127","1"
"1528","1168","1"
"1528","1182","1"
"1529","1009","10"
"1529","1011","10"
"1529","1025","10"
"1529","1051","10"
"1529","1095","10"
"1529","1139","10"
"1529","1148","10"
"1529","1152","10"
"1529","1171","10"
"1529","1198","10"
"1529","1206","10"
"1530","1009","10"
"1530","1011","10"
"1530","1025","10"
"1530","1051","10"
"1530","1095","10"
"1530","1139","10"
"1530","1148","10"
"1530","1152","10"
"1530","1171","10"
"1530","1198","10"
"1530","1206","10"
"1531","1009","10"
"1531","1009","13"
"1531","1009","20"
"1531","1011","10"
"1531","1018","13"
"1531","1025","10"
"1531","1034","97"
"1531","1034","meta: 31--33"
"1531","1034","meta: 42--44"
"1531","1034","20"
"1531","1051","10"
"1531","1051","20"
"1531","1090","97"
"1531","1095","10"
"1531","1119","108"
"1531","1119","109"
"1531","1122","13"
"1531","1122","20"
"1531","1130","108"
"1531","1139","10"
"1531","1141","97"
"1531","1148","10"
"1531","1149","13"
"1531","1152","10"
"1531","1171","10"
"1531","1173","13"
"1531","1175","20"
"1531","1197","109"
"1531","1198","10"
"1531","1199","13"
"1531","1201","13"
"1531","1201","20"
"1531","1206","10"
"1532","1002","58"
"1532","1003","58"
"1532","1004","58"
"1532","1009","22"
"1532","1009","21"
"1532","1009","10"
"1532","1009","13"
"1532","1009","16"
"1532","1009","20"
"1532","1011","10"
"1532","1013","58"
"1532","1014","58"
"1532","1016","94"
"1532","1018","13"
"1532","1018","16"
"1532","1019","98"
"1532","1020","21"
"1532","1022","meta: 56--58"
"1532","1024","98"
"1532","1025","14"
"1532","1025","16"
"1532","1025","10"
"1532","1026","58"
"1532","1026","50"
"1532","1027","98"
"1532","1028","58"
"1532","1030","50"
"1532","1032","58"
"1532","1033","22"
"1532","1034","58"
"1532","1034","60"
"1532","1034","22"
"1532","1034","21"
"1532","1034","42"
"1532","1034","50"
"1532","1034","16"
"1532","1034","20"
"1532","1037","50"
"1532","1041","16"
"1532","1043","21"
"1532","1044","98"
"1532","1049","58"
"1532","1051","98"
"1532","1051","58"
"1532","1051","60"
"1532","1051","22"
"1532","1051","16"
"1532","1051","10"
"1532","1051","20"
"1532","1058","50"
"1532","1061","98"
"1532","1065","94"
"1532","1065","80"
"1532","1068","58"
"1532","1073","58"
"1532","1075","50"
"1532","1082","58"
"1532","1083","21"
"1532","1085","98"
"1532","1086","98"
"1532","1089","52"
"1532","1089","53"
"1532","1089","meta: 56--58"
"1532","1089","58"
"1532","1089","50"
"1532","1090","98"
"1532","1090","58"
"1532","1091","58"
"1532","1095","98"
"1532","1095","58"
"1532","1095","60"
"1532","1095","21"
"1532","1095","50"
"1532","1095","10"
"1532","1100","58"
"1532","1101","98"
"1532","1102","98"
"1532","1103","58"
"1532","1105","58"
"1532","1106","58"
"1532","1107","31"
"1532","1109","meta: 56--58"
"1532","1109","58"
"1532","1110","98"
"1532","1111","58"
"1532","1111","50"
"1532","1114","50"
"1532","1116","98"
"1532","1119","108"
"1532","1119","109"
"1532","1119","94"
"1532","1119","80"
"1532","1119","58"
"1532","1119","50"
"1532","1119","16"
"1532","1121","58"
"1532","1122","122"
"1532","1122","98"
"1532","1122","53"
"1532","1122","meta: 56--58"
"1532","1122","58"
"1532","1122","60"
"1532","1122","22"
"1532","1122","21"
"1532","1122","50"
"1532","1122","14"
"1532","1122","13"
"1532","1122","16"
"1532","1122","20"
"1532","1124","58"
"1532","1124","50"
"1532","1125","21"
"1532","1130","108"
"1532","1130","94"
"1532","1130","80"
"1532","1130","58"
"1532","1130","50"
"1532","1132","98"
"1532","1134","98"
"1532","1137","98"
"1532","1139","10"
"1532","1140","98"
"1532","1141","98"
"1532","1141","94"
"1532","1141","58"
"1532","1143","58"
"1532","1146","58"
"1532","1148","10"
"1532","1149","13"
"1532","1149","16"
"1532","1151","58"
"1532","1152","10"
"1532","1154","98"
"1532","1155","58"
"1532","1158","98"
"1532","1163","50"
"1532","1164","98"
"1532","1167","58"
"1532","1169","meta: 56--58"
"1532","1169","58"
"1532","1169","50"
"1532","1170","50"
"1532","1171","10"
"1532","1173","13"
"1532","1174","58"
"1532","1175","20"
"1532","1181","60"
"1532","1183","meta: 56--58"
"1532","1183","58"
"1532","1183","50"
"1532","1184","50"
"1532","1188","50"
"1532","1190","58"
"1532","1190","50"
"1532","1191","98"
"1532","1192","58"
"1532","1196","98"
"1532","1197","109"
"1532","1197","80"
"1532","1197","meta: 56--58"
"1532","1197","58"
"1532","1198","10"
"1532","1199","13"
"1532","1199","16"
"1532","1200","58"
"1532","1201","98"
"1532","1201","53"
"1532","1201","meta: 56--58"
"1532","1201","58"
"1532","1201","60"
"1532","1201","22"
"1532","1201","21"
"1532","1201","50"
"1532","1201","13"
"1532","1201","16"
"1532","1201","20"
"1532","1203","16"
"1532","1206","10"
"1532","1209","98"
"1532","1214","98"
"1532","1215","98"
"1532","1216","58"
"1532","1217","98"
"1532","1221","58"
"1533","1009","10"
"1533","1011","10"
"1533","1025","10"
"1533","1051","10"
"1533","1095","10"
"1533","1139","10"
"1533","1148","10"
"1533","1152","10"
"1533","1171","10"
"1533","1198","10"
"1533","1206","10"
"1534","1009","16"
"1534","1009","10"
"1534","1009","17"
"1534","1011","10"
"1534","1018","16"
"1534","1018","17"
"1534","1021","90"
"1534","1025","16"
"1534","1025","10"
"1534","1034","16"
"1534","1034","17"
"1534","1041","16"
"1534","1046","90"
"1534","1051","meta: 98--100"
"1534","1051","90"
"1534","1051","16"
"1534","1051","10"
"1534","1052","meta: 98--100"
"1534","1056","90"
"1534","1078","meta: 118--120"
"1534","1079","90"
"1534","1093","90"
"1534","1095","10"
"1534","1119","16"
"1534","1119","17"
"1534","1122","meta: 118--120"
"1534","1122","meta: 98--100"
"1534","1122","90"
"1534","1122","16"
"1534","1139","10"
"1534","1148","10"
"1534","1149","16"
"1534","1152","10"
"1534","1162","90"
"1534","1163","90"
"1534","1171","10"
"1534","1186","meta: 98--100"
"1534","1198","10"
"1534","1199","16"
"1534","1201","meta: 98--100"
"1534","1201","90"
"1534","1201","16"
"1534","1201","17"
"1534","1203","16"
"1534","1206","10"
"1534","1213","90"
"1534","1218","meta: 118--120"
"1534","1220","meta: 98--100"
"1535","1009","10"
"1535","1011","10"
"1535","1025","10"
"1535","1051","10"
"1535","1095","10"
"1535","1139","10"
"1535","1148","10"
"1535","1152","10"
"1535","1171","10"
"1535","1198","10"
"1535","1206","10"
"1536","1009","22"
"1536","1009","10"
"1536","1011","10"
"1536","1018","9"
"1536","1025","10"
"1536","1033","22"
"1536","1034","22"
"1536","1051","82"
"1536","1051","22"
"1536","1051","9"
"1536","1051","10"
"1536","1063","9"
"1536","1078","meta: 100--102"
"1536","1095","10"
"1536","1119","meta: 100--102"
"1536","1122","110"
"1536","1122","82"
"1536","1122","22"
"1536","1139","10"
"1536","1148","10"
"1536","1152","10"
"1536","1171","10"
"1536","1198","10"
"1536","1201","110"
"1536","1201","82"
"1536","1201","22"
"1536","1201","37"
"1536","1206","10"
"1537","1009","10"
"1537","1011","10"
"1537","1025","10"
"1537","1051","10"
"1537","1095","10"
"1537","1139","10"
"1537","1148","10"
"1537","1152","10"
"1537","1171","10"
"1537","1198","10"
"1537","1206","10"
"1538","1009","10"
"1538","1011","10"
"1538","1025","10"
"1538","1034","73"
"1538","1051","73"
"1538","1051","10"
"1538","1055","73"
"1538","1060","73"
"1538","1081","73"
"1538","1095","73"
"1538","1095","10"
"1538","1098","73"
"1538","1101","73"
"1538","1113","73"
"1538","1115","73"
"1538","1122","73"
"1538","1135","73"
"1538","1136","73"
"1538","1138","73"
"1538","1139","10"
"1538","1148","10"
"1538","1152","10"
"1538","1159","73"
"1538","1171","10"
"1538","1198","10"
"1538","1201","73"
"1538","1206","10"
"1538","1208","73"
"1539","1009","10"
"1539","1011","10"
"1539","1025","10"
"1539","1051","10"
"1539","1095","10"
"1539","1107","31"
"1539","1119","109"
"1539","1139","10"
"1539","1148","10"
"1539","1152","10"
"1539","1171","10"
"1539","1197","109"
"1539","1198","10"
"1539","1206","10"
"1540","1009","10"
"1540","1011","10"
"1540","1025","10"
"1540","1051","10"
"1540","1095","10"
"1540","1139","10"
"1540","1148","10"
"1540","1152","10"
"1540","1171","10"
"1540","1198","10"
"1540","1206","10"
"1541","1009","10"
"1541","1011","10"
"1541","1025","10"
"1541","1051","10"
"1541","1095","10"
"1541","1139","10"
"1541","1148","10"
"1541","1152","10"
"1541","1171","10"
"1541","1198","10"
"1541","1206","10"
"1542","1009","10"
"1542","1011","10"
"1542","1025","10"
"1542","1051","10"
"1542","1095","10"
"1542","1139","10"
"1542","1148","10"
"1542","1152","10"
"1542","1171","10"
"1542","1198","10"
"1542","1206","10"
"1543","1009","10"
"1543","1011","10"
"1543","1025","10"
"1543","1051","10"
"1543","1095","10"
"1543","1139","10"
"1543","1148","10"
"1543","1152","10"
"1543","1171","10"
"1543","1198","10"
"1543","1206","10"
"1544","1009","10"
"1544","1011","10"
"1544","1025","10"
"1544","1051","10"
"1544","1095","10"
"1544","1139","10"
"1544","1148","10"
"1544","1152","10"
"1544","1171","10"
"1544","1198","10"
"1544","1206","10"
"1545","1009","10"
"1545","1011","10"
"1545","1025","10"
"1545","1051","10"
"1545","1095","10"
"1545","1139","10"
"1545","1148","10"
"1545","1152","10"
"1545","1171","10"
"1545","1198","10"
"1545","1206","10"
"1546","1009","10"
"1546","1011","10"
"1546","1025","10"
"1546","1051","10"
"1546","1095","10"
"1546","1139","10"
"1546","1148","10"
"1546","1152","10"
"1546","1171","10"
"1546","1198","10"
"1546","1206","10"
"1547","1002","58"
"1547","1003","58"
"1547","1004","58"
"1547","1009","10"
"1547","1011","10"
"1547","1013","58"
"1547","1014","58"
"1547","1025","10"
"1547","1026","58"
"1547","1028","58"
"1547","1032","58"
"1547","1034","116"
"1547","1034","58"
"1547","1034","25"
"1547","1043","25"
"1547","1049","58"
"1547","1051","58"
"1547","1051","10"
"1547","1068","58"
"1547","1073","58"
"1547","1082","58"
"1547","1089","58"
"1547","1090","116"
"1547","1090","58"
"1547","1091","58"
"1547","1095","58"
"1547","1095","25"
"1547","1095","10"
"1547","1100","58"
"1547","1103","58"
"1547","1105","58"
"1547","1106","58"
"1547","1109","58"
"1547","1111","58"
"1547","1119","58"
"1547","1121","58"
"1547","1122","116"
"1547","1122","58"
"1547","1122","25"
"1547","1124","58"
"1547","1130","58"
"1547","1139","10"
"1547","1141","58"
"1547","1143","58"
"1547","1146","58"
"1547","1148","10"
"1547","1151","58"
"1547","1152","10"
"1547","1155","58"
"1547","1167","58"
"1547","1169","58"
"1547","1171","10"
"1547","1174","58"
"1547","1183","58"
"1547","1190","58"
"1547","1192","58"
"1547","1197","58"
"1547","1198","10"
"1547","1200","58"
"1547","1201","58"
"1547","1206","10"
"1547","1216","58"
"1547","1221","58"
"1548","1009","10"
"1548","1011","10"
"1548","1025","10"
"1548","1051","10"
"1548","1095","10"
"1548","1139","10"
"1548","1148","10"
"1548","1152","10"
"1548","1171","10"
"1548","1198","10"
"1548","1206","10"
"1549","1009","10"
"1549","1011","10"
"1549","1025","10"
"1549","1051","10"
"1549","1089","52"
"1549","1095","10"
"1549","1139","10"
"1549","1148","10"
"1549","1152","10"
"1549","1171","10"
"1549","1198","10"
"1549","1206","10"
"1550","1009","10"
"1550","1011","10"
"1550","1025","14"
"1550","1025","10"
"1550","1026","50"
"1550","1028","meta: 50--52"
"1550","1030","50"
"1550","1034","50"
"1550","1037","50"
"1550","1051","10"
"1550","1058","50"
"1550","1069","meta: 50--52"
"1550","1075","50"
"1550","1075","meta: 50--52"
"1550","1089","50"
"1550","1089","meta: 50--52"
"1550","1095","50"
"1550","1095","meta: 50--52"
"1550","1095","10"
"1550","1107","31"
"1550","1109","meta: 50--52"
"1550","1111","50"
"1550","1114","50"
"1550","1119","109"
"1550","1119","50"
"1550","1119","meta: 50--52"
"1550","1122","122"
"1550","1122","50"
"1550","1122","14"
