SOURCE NODE ID,TARGET NODE ID,SCENE ID
"162","1001","1"
"162","1127","1"
"162","1168","1"
"162","1182","1"
"164","1034","129"
"164","1035","3"
"164","1084","3"
"164","1168","3"
"164","1180","129"
"164","1182","3"
"165","1005","4"
"165","1010","4"
"165","1012","4"
"165","1015","4"
"165","1017","4"
"165","1038","4"
"165","1048","4"
"165","1051","4"
"165","1053","4"
"165","1057","4"
"165","1071","4"
"165","1077","4"
"165","1080","4"
"165","1092","4"
"165","1094","4"
"165","1104","4"
"165","1112","4"
"165","1117","4"
"165","1127","4"
"165","1128","4"
"165","1131","4"
"165","1143","4"
"165","1150","4"
"165","1153","4"
"165","1156","4"
"165","1160","4"
"165","1178","4"
"165","1202","4"
"165","1207","4"
"166","1051","5"
"167","1018","6"
"167","1051","6"
"167","1149","6"
"168","1009","16"
"168","1009","7"
"168","1009","10"
"168","1011","10"
"168","1018","16"
"168","1025","16"
"168","1025","7"
"168","1025","10"
"168","1034","16"
"168","1034","7"
"168","1041","16"
"168","1051","16"
"168","1051","7"
"168","1051","10"
"168","1095","10"
"168","1119","16"
"168","1122","16"
"168","1139","10"
"168","1148","10"
"168","1149","16"
"168","1149","7"
"168","1152","10"
"168","1171","10"
"168","1198","7"
"168","1198","10"
"168","1199","16"
"168","1201","16"
"168","1203","16"
"168","1206","10"
"168","1222","7"
"169","1051","8"
"170","1018","9"
"170","1051","9"
"170","1063","9"
"172","1009","13"
"172","1018","13"
"172","1122","13"
"172","1149","13"
"172","1173","13"
"172","1199","13"
"172","1201","13"
"173","1025","14"
"173","1122","14"
"175","1009","17"
"175","1018","17"
"175","1034","17"
"175","1119","17"
"175","1201","17"
"176","1007","18"
"176","1009","18"
"176","1018","18"
"176","1029","18"
"176","1031","18"
"176","1034","18"
"176","1099","18"
"176","1149","18"
"176","1189","18"
"176","1201","18"
"177","1009","20"
"177","1034","20"
"177","1051","20"
"177","1122","20"
"177","1175","20"
"177","1201","20"
"178","1009","21"
"178","1020","21"
"178","1034","21"
"178","1043","21"
"178","1083","21"
"178","1095","21"
"178","1122","21"
"178","1125","21"
"178","1201","21"
"179","1009","22"
"179","1033","22"
"179","1034","22"
"179","1051","22"
"179","1122","22"
"179","1201","22"
"181","1009","26"
"181","1020","24"
"181","1034","26"
"181","1034","24"
"181","1043","26"
"181","1043","24"
"181","1059","26"
"181","1095","24"
"181","1122","24"
"181","1149","24"
"182","1034","35"
"182","1034","33"
"182","1034","39"
"182","1034","25"
"182","1043","25"
"182","1095","35"
"182","1095","33"
"182","1095","25"
"182","1107","35"
"182","1107","31"
"182","1119","35"
"182","1122","35"
"182","1122","33"
"182","1122","25"
"182","1142","33"
"182","1201","35"
"182","1201","39"
"183","1020","27"
"183","1034","27"
"183","1043","27"
"183","1095","27"
"183","1119","27"
"183","1122","27"
"183","1123","27"
"183","1125","27"
"183","1201","27"
"186","1025","38"
"186","1034","38"
"186","1201","38"
"188","1201","37"
"191","1034","42"
"193","1034","44"
"196","1034","47"
"197","1034","49"
"197","1040","49"
"197","1072","49"
"197","1090","49"
"197","1143","49"
"198","1026","50"
"198","1030","50"
"198","1034","50"
"198","1037","50"
"198","1058","50"
"198","1075","50"
"198","1089","50"
"198","1095","50"
"198","1111","50"
"198","1114","50"
"198","1119","50"
"198","1122","50"
"198","1124","50"
"198","1130","50"
"198","1163","50"
"198","1169","50"
"198","1170","50"
"198","1183","50"
"198","1184","50"
"198","1188","50"
"198","1190","50"
"198","1201","50"
"200","1089","52"
"201","1089","53"
"201","1122","53"
"201","1201","53"
"203","1095","56"
"203","1119","56"
"203","1122","56"
"205","1002","58"
"205","1003","58"
"205","1004","58"
"205","1013","58"
"205","1014","58"
"205","1026","58"
"205","1028","58"
"205","1032","58"
"205","1034","60"
"205","1034","58"
"205","1049","58"
"205","1051","58"
"205","1051","60"
"205","1068","58"
"205","1073","58"
"205","1082","58"
"205","1089","58"
"205","1090","58"
"205","1091","58"
"205","1095","58"
"205","1095","60"
"205","1100","58"
"205","1103","58"
"205","1105","58"
"205","1106","58"
"205","1109","58"
"205","1111","58"
"205","1119","58"
"205","1121","58"
"205","1122","58"
"205","1122","60"
"205","1124","58"
"205","1130","58"
"205","1141","58"
"205","1143","58"
"205","1146","58"
"205","1151","58"
"205","1155","58"
"205","1167","58"
"205","1169","58"
"205","1174","58"
"205","1181","60"
"205","1183","58"
"205","1190","58"
"205","1192","58"
"205","1197","58"
"205","1200","58"
"205","1201","60"
"205","1201","58"
"205","1216","58"
"205","1221","58"
"206","1008","127"
"206","1034","59"
"206","1051","59"
"206","1074","127"
"206","1095","59"
"206","1122","59"
"206","1133","127"
"206","1157","59"
"206","1166","127"
"206","1181","59"
"206","1181","127"
"206","1201","59"
"208","1034","114"
"208","1034","62"
"208","1051","62"
"208","1090","114"
"208","1095","114"
"208","1095","62"
"208","1096","114"
"208","1097","62"
"208","1122","62"
"208","1201","62"
"209","1034","63"
"209","1095","63"
"209","1122","63"
"209","1201","63"
"210","1034","64"
"210","1201","64"
"211","1034","65"
"211","1095","65"
"211","1097","65"
"211","1122","65"
"211","1201","65"
"212","1034","69"
"212","1034","66"
"212","1036","66"
"212","1051","66"
"212","1095","69"
"212","1122","66"
"212","1122","69"
"212","1201","66"
"214","1034","116"
"214","1034","113"
"214","1034","103"
"214","1034","124"
"214","1034","121"
"214","1078","103"
"214","1090","116"
"214","1090","113"
"214","1090","103"
"214","1090","68"
"214","1090","124"
"214","1090","121"
"214","1119","124"
"214","1122","116"
"214","1122","121"
"214","1130","124"
"214","1179","103"
"214","1181","103"
"215","1006","70"
"215","1034","70"
"215","1045","70"
"215","1051","70"
"215","1052","70"
"215","1055","70"
"215","1062","70"
"215","1066","70"
"215","1076","70"
"215","1095","70"
"215","1122","70"
"215","1126","70"
"215","1145","70"
"215","1147","70"
"215","1165","70"
"215","1205","70"
"215","1210","70"
"215","1211","70"
"215","1219","70"
"218","1034","73"
"218","1051","73"
"218","1055","73"
"218","1060","73"
"218","1081","73"
"218","1095","73"
"218","1098","73"
"218","1101","73"
"218","1113","73"
"218","1115","73"
"218","1122","73"
"218","1135","73"
"218","1136","73"
"218","1138","73"
"218","1159","73"
"218","1201","73"
"218","1208","73"
"219","1000","74"
"219","1034","74"
"219","1051","74"
"219","1054","74"
"219","1060","74"
"219","1087","74"
"219","1095","74"
"219","1101","74"
"219","1113","74"
"219","1122","74"
"219","1201","74"
"220","1034","75"
"220","1122","75"
"220","1201","75"
"222","1034","77"
"222","1143","77"
"222","1220","77"
"223","1034","78"
"223","1036","78"
"223","1051","78"
"223","1095","78"
"223","1122","78"
"223","1201","78"
"224","1008","92"
"224","1016","94"
"224","1042","100"
"224","1051","100"
"224","1052","100"
"224","1065","80"
"224","1065","94"
"224","1066","100"
"224","1074","100"
"224","1074","92"
"224","1119","100"
"224","1119","112"
"224","1119","108"
"224","1119","80"
"224","1119","94"
"224","1119","92"
"224","1130","108"
"224","1130","80"
"224","1130","94"
"224","1141","100"
"224","1141","94"
"224","1141","92"
"224","1144","100"
"224","1161","100"
"224","1172","112"
"224","1197","112"
"224","1197","80"
"224","1204","112"
"224","1212","100"
"225","1051","82"
"225","1122","82"
"225","1201","82"
"227","1036","86"
"227","1051","86"
"227","1122","86"
"227","1201","86"
"228","1034","89"
"228","1034","97"
"228","1090","89"
"228","1090","97"
"228","1118","89"
"228","1141","97"
"229","1021","90"
"229","1046","90"
"229","1051","90"
"229","1056","90"
"229","1079","90"
"229","1093","90"
"229","1122","90"
"229","1162","90"
"229","1163","90"
"229","1201","90"
"229","1213","90"
"231","1016","93"
"231","1119","109"
"231","1119","96"
"231","1119","123"
"231","1119","132"
"231","1122","123"
"231","1129","96"
"231","1141","93"
"231","1141","132"
"231","1197","109"
"231","1197","96"
"231","1197","93"
"231","1197","126"
"231","1197","123"
"233","1019","98"
"233","1024","98"
"233","1027","98"
"233","1039","115"
"233","1044","98"
"233","1051","98"
"233","1051","115"
"233","1061","98"
"233","1066","115"
"233","1070","115"
"233","1085","98"
"233","1086","98"
"233","1090","98"
"233","1095","98"
"233","1095","115"
"233","1101","98"
"233","1102","98"
"233","1110","98"
"233","1116","98"
"233","1122","98"
"233","1122","115"
"233","1122","110"
"233","1122","122"
"233","1126","115"
"233","1132","98"
"233","1134","98"
"233","1137","98"
"233","1140","98"
"233","1141","98"
"233","1154","98"
"233","1158","98"
"233","1164","98"
"233","1191","98"
"233","1193","115"
"233","1196","98"
"233","1201","115"
"233","1201","110"
"233","1201","98"
"233","1209","98"
"233","1214","98"
"233","1215","98"
"233","1217","98"
"235","1179","102"
"235","1181","102"
"237","1008","117"
"237","1119","117"
"237","1130","117"
"237","1141","117"
"238","1056","118"
"238","1078","118"
"238","1122","120"
"238","1187","118"
"239","1023","125"
"239","1034","125"
"239","1090","125"
"239","1119","125"
"239","1130","125"
"239","1185","125"
"240","1119","131"
"240","1141","131"
