"NODE ID","NODE LABEL","SCENE IDS","DIALOGUE IDS"
"162","IMPERIAL SHUTTLE - COCKPIT","[1,54]","[1]"
"163","DEATH STAR - CONTROL ROOM","[2,104,106,135,133,130]",""
"164","DEATH STAR - MAIN DOCKING BAY","[129,3]","[2,3,4,5,564,565,566,567,568,569]"
"165","ROAD TO JABBA'S PALACE - TATOOINE","[4,12]","[6,7,8,9,10,11,12,13,14,15,16,17,18]"
"166","JABBA'S PALACE - GATE","[5]","[19,20,21,22,23,24,25]"
"167","JABBA'S PALACE - HALLWAY","[6]","[26,27,28,29,30,31,32,33]"
"168","JABBA'S THRONE ROOM","[7,10,16]","[34,35,36,37,38,39,40,41,54,55,56,57,58,59,60,61,62,92,93,94,95,96,97]"
"169","DUNGEON CORRIDOR","[8]","[42,43]"
"170","BOILER ROOM","[9]","[44,45,46,47,48,49,50,51,52,53]"
"171","DUNGEON CORRIDOR AND CELL","[11]",""
"172","JABBA'S THRONE ROOM","[13]","[63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79]"
"173","DUNGEON CELL","[14]","[80,81,82,83,84,85,86,87,88,89,90,91]"
"174","MAIN GATE AND HALL - JABBA'S PALACE","[15]",""
"175","RANCOR PIT","[19,17]",""
"176","HOLDING TUNNEL - RANCOR PIT","[18]","[98]"
"177","THRONE ROOM","[20]","[99,100,101,102,103,104,105,106,107,108,109,110,111,112,113]"
"178","TATOOINE SEA - SKIFF","[21]","[114,115,116,117]"
"179","BARGE OBSERVATION DECK","[22]","[118,119,120,121]"
"180","SARLACC PIT","[23,29]",""
"181","SAIL BARGE OBSERVATION DECK","[26,24]","[122]"
"182","SKIFF","[39,35,33,31,25]","[123,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,151]"
"183","BARGE - UPPER DECK","[27]","[124]"
"184","SKIFF - PLANK","[28]",""
"185","SAIL BARGE","[30,34]",""
"186","UPPER DECK - SAIL BARGE","[38,32]","[146,147,148,149,150]"
"187","UPPER DECK","[36]",""
"188","SAIL BARGE - OBSERVATION DECK","[37]","[145]"
"189","SAND DUNE","[40]",""
"190","DUNE SEA","[41]",""
"191","DUNE SEA - LANDING AREA","[42]","[152,153,154,155,156,157,158,159,160,161,162,163,164]"
"192","SPACE ABOVE TATOOINEA","[99,43]",""
"193","X-WING - COCKPIT","[44]",""
"194","SPACE - DEATH STAR AND ENDOR","[111,45]",""
"195","DEATH STAR - CORRIDOR TO DOCKING BAY","[46]",""
"196","DOCKING BAY - DEATH STAR","[47]",""
"197","YODA'S HOUSE - DAGOBAH","[49,48]","[165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188]"
"198","DAGOBAH SWAMP - X-WING","[50]","[189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206,207,208,209,210,211,212,213,214,215,216,217,218,219]"
"199","SPACE - REBEL FLEET","[81,51,79]",""
"200","HEADQUARTERS FRIGATE - MAIN BRIEFING ROOM","[52]","[220]"
"201","HEADQUARTERS FRIGATE - MAIN DOCKING BAY","[53]",""
"202","SPACE - THE REBEL FLEET","[55]",""
"203","EMPEROR'S THRONE ROOM","[56]",""
"204","SPACE - DEATH STAR - MOON","[57]",""
"205","STOLEN IMPERIAL SHUTTLE - COCKPIT","[58,60]","[221,222,223,224,225,226,227,228,229,230,231,232,233,234,235,236,237,238,239,240,241,242,243,244,245,246,247,248,249,250,251,252,253,254,270,271]"
"206","VADER'S STAR DESTROYER - BRIDGE","[59,127]","[255,256,257,258,259,260,261,262,263,264,265,266,267,268,269,561,562,563]"
"207","SPACE - STOLEN IMPERIAL SHUTTLE - ENDOR","[61]",""
"208","FOREST LANDING SITE - ENDOR","[62,114,87]","[272,273,274,510,511]"
"209","FOREST CLEARING - CAMPSITE","[63]","[275,276,277,278,279,280]"
"210","FOREST - THE BIKE CHASE","[64]","[281,282,283]"
"211","SCOUT CAMPSITE - FOREST","[65]","[284,285,286,287,288,289,290,291,292,293,294,295,296,297]"
"212","FOREST CLEARING - LEIA'S CRASH SITE","[69,66]","[298,299,300,301,302,303,304,305,306,315,316,317,318]"
"213","DEATH STAR - CORRIDOR TO EMPEROR'S TOWER","[67]",""
"214","EMPEROR'S TOWER - THRONE ROOM","[68,121,124,113,116,103]","[307,308,309,310,311,312,313,314,491,492,508,509,522,523,524,525,526,527,528,529,538,539,540,541,542,543,544,545,549,550,551,552]"
"215","FOREST - DENSE FOLIAGE","[70]","[319,320,321,322,323,324,325,326,327,328,329,330,331,332,333,334,335,336,337,338,339]"
"216","FOREST - SERIES OF SHOTS","[71]",""
"217","FOREST WALKWAY - MOON FOREST","[72]",""
"218","EWOK VILLAGE SQUARE","[73]","[340,341,342,343,344,345,346,347,348,349,350,351,352,353,354,355]"
"219","CHIEF'S HUT - COUNCIL OF ELDERS","[74]","[356,357,358,359,360,361]"
"220","EWOK VILLAGE","[75]","[362,363,364,365,366,367,368,369,370,371,372,373,374,375,376,377,378,379,380,381,382,383,384,385,386,387,388,389,390,391,392]"
"221","FOREST - IMPERIAL LANDING PLATFORM","[76]",""
"222","IMPERIAL LANDING PLATFORM - LOWER DECK","[77]","[393,394,395,396,397,398,399,400,401,402,403,404,405,406,407,408,409,410]"
"223","ENDOR - RIDGE OVERLOOKING SHIELD GENERATOR","[78]","[411,412,413,414]"
"224","MILLENNIUM FALCON - COCKPIT","[80,134,108,112,100,92,94]","[415,416,417,418,419,448,449,450,451,452,454,455,456,457,480,481,482,483,484,485,486,487,493,503,504,505,506,507]"
"225","ENDOR - RIDGE OVERLOOKING CONTROL BUNKER","[82]","[420,421,422,423,424]"
"226","BUNKER - ENTRANCE","[83,88,85]","[426]"
"227","RIDGE","[84,86]","[425,427,428]"
"228","DEATH STAR - EMPEROR'S THRONE ROOM","[97,89]","[429,430,431,432,433,434,435,436,437,438,439,440,441,442,464,465,466,467,468]"
"229","BUNKER - MAIN CONTROL ROOM","[90]","[443,444,445,446,447]"
"230","SPACE - ENDOR DEATH STAR REBEL FLEET","[91]",""
"231","REBEL STAR CRUISER - BRIDGE","[132,123,126,128,109,96,93]","[453,458,459,460,461,462,463,494,495,496,497,547,548,560,573,574,575,576,577]"
"232","SPACE - DEATH STAR SHIELD","[95]",""
"233","FOREST - GENERATOR BUNKER","[122,115,119,110,98]","[469,470,471,472,473,474,475,476,477,478,479,498,499,500,501,502,512,513,514,515,516,517,518,519,520,521,546]"
"234","SPACE - IMPERIAL FLEET","[101]",""
"235","SUPER STAR DESTROYER - BRIDGE","[102]","[488,489,490]"
"236","DEATH STAR - BLAST CHAMBER","[105]",""
"237","SPACE - AIR BATTLE","[117,107]","[530,531,532,533]"
